universe,asset,total_trades,win_rate_pct,avg_return_pct,median_return_pct,profit_factor,expectancy_pct,max_drawdown_pct,best_trade_pct,worst_trade_pct,avg_holding_days,return_to_drawdown,sharpe_like,total_net_return_pct,trades_per_month
mixed,JPST,24,8.33,-0.24,-0.21,0.05,-0.24,0.36,0.24,-0.58,19.67,-0.96,-1.49,-0.34,0.89
mixed,LCUJ.DE,22,77.27,831.16,2.8,1935.98,831.16,0.3,18231.45,-5.46,19.82,3411.21,0.22,1011.35,0.7
mixed,IJH,20,65.0,0.83,1.37,1.65,0.83,0.83,7.26,-9.53,19.85,1.15,0.2,0.94,0.63
mixed,SPY,20,80.0,1.75,2.05,3.34,1.75,0.4,11.2,-5.36,20.0,4.39,0.48,1.76,0.64
mixed,IWM,19,63.16,1.79,2.0,2.02,1.79,0.7,10.81,-8.11,19.84,2.53,0.31,1.78,0.6
mixed,SXR8.DE,19,63.16,1.14,1.71,1.76,1.14,1.03,12.4,-12.34,19.16,1.13,0.21,1.16,0.6
mixed,EXSA.DE,19,57.89,0.81,1.31,1.8,0.81,0.79,11.48,-10.71,19.84,1.13,0.2,0.9,0.6
mixed,QQQ,19,52.63,0.88,0.48,1.81,0.88,0.64,7.95,-6.7,19.63,1.32,0.23,0.84,0.6
mixed,BIL,18,16.67,-0.22,-0.28,0.07,-0.22,0.21,0.12,-0.35,20.0,-1.07,-1.5,-0.23,0.62
mixed,VWRL.LON,18,72.22,3.02,1.58,7.16,3.02,0.37,29.72,-4.73,20.0,8.58,0.43,3.14,0.57
mixed,EIMI.LON,17,47.06,1.16,-0.2,2.2,1.16,0.46,8.43,-5.15,19.76,2.42,0.3,1.1,0.54
mixed,FLOT,17,5.88,-0.27,-0.24,0.03,-0.27,0.24,0.13,-0.69,20.0,-1.06,-1.44,-0.26,0.62
mixed,VWCE.DE,16,62.5,1.8,1.86,3.5,1.8,0.52,13.05,-5.65,20.0,2.86,0.44,1.49,0.51
mixed,SHY,16,18.75,-0.35,-0.28,0.03,-0.35,0.28,0.09,-0.92,20.0,-1.16,-1.03,-0.32,0.63
mixed,PPFB.DE,14,78.57,2.66,2.92,4.56,2.66,0.37,7.4,-6.05,19.36,5.49,0.69,2.02,0.49
mixed,IB28,14,28.57,-0.23,-0.28,0.32,-0.23,0.18,0.95,-1.07,20.0,-1.04,-0.47,-0.19,0.77
mixed,MSFT,14,50.0,1.11,0.07,1.53,1.11,0.64,14.51,-8.28,20.0,0.57,0.17,0.37,0.51
mixed,MCHI,11,45.45,1.51,-2.38,1.6,1.51,0.27,19.16,-7.3,20.0,1.82,0.18,0.48,0.52
mixed,GOOGL,10,80.0,4.29,4.99,5.28,4.29,0.21,17.08,-9.15,18.1,4.88,0.65,1.03,0.32
mixed,AMZN,10,30.0,-2.42,-2.13,0.16,-2.42,0.56,2.94,-12.88,20.0,-1.0,-0.58,-0.56,0.33
mixed,10AM.DE,10,30.0,-0.78,-0.58,0.25,-0.78,0.46,1.83,-3.41,20.0,-0.94,-0.52,-0.43,0.43
mixed,SOXX,9,66.67,2.48,1.77,2.31,2.48,0.24,17.06,-7.9,19.67,2.31,0.33,0.55,0.3
mixed,TLT,7,57.14,-0.06,0.83,0.96,-0.06,0.29,4.46,-6.05,19.71,-0.05,-0.02,-0.01,0.34
mixed,TSM,4,75.0,8.27,7.94,119.07,8.27,0.01,17.47,-0.28,20.0,118.7,1.16,0.75,0.2
mixed,ASML,4,50.0,5.12,-1.03,3.67,5.12,0.17,27.31,-4.77,20.0,2.73,0.39,0.47,0.21
mixed,ETHUSDT,1,100.0,23.27,23.27,23.27,23.27,0.0,23.27,23.27,20.0,0.52,0.0,0.52,1.45
mixed,BTCUSDT,1,0.0,-2.79,-2.79,0.0,-2.79,0.0,-2.79,-2.79,20.0,-0.06,0.0,-0.06,1.45
