universe,config_id,label,strategy_score,discard_reasons,train_expectancy_pct,test_expectancy_pct,test_profit_factor,test_total_trades
mixed,cfg_04,High quality fixed 30d,25.77,too_few_trades,5.09,2.0,3.99,2
mixed,cfg_10,Hybrid 15/8/30 strict,0.3,too_few_trades,0.72,0.86,1.3,4
mixed,cfg_09,Hybrid 10/5/20,-19.38,"negative_oos_expectancy,train_test_collapse",1.04,-0.06,0.98,16
mixed,cfg_06,TP12 SL7 strict,-19.44,"negative_oos_expectancy,train_test_collapse",1.47,-0.08,0.98,4
mixed,cfg_07,Signal loss 40,-39.53,"weak_profit_factor,negative_oos_expectancy",-2.69,-0.47,0.85,13
mixed,cfg_05,TP8 SL5,-42.44,"weak_profit_factor,negative_oos_expectancy,train_test_collapse",0.63,-0.73,0.76,14
mixed,cfg_11,Relaxed hybrid 20/10/30,-44.9,"weak_profit_factor,negative_oos_expectancy,train_test_collapse",0.26,-0.9,0.78,64
mixed,cfg_02,Balanced fixed 20d,-55.79,"weak_profit_factor,negative_oos_expectancy,train_test_collapse",1.41,-1.55,0.66,11
stocks,cfg_12,Balanced hybrid 12/7/15,-20.76,"too_few_trades,weak_profit_factor",1.48,0.0,0.0,0
stocks,cfg_06,TP12 SL7 strict,-27.83,"too_few_trades,weak_profit_factor",2.34,0.0,0.0,0
stocks,cfg_03,Conservative fixed 15d,-28.16,"too_few_trades,weak_profit_factor",1.68,0.0,0.0,0
stocks,cfg_08,Signal loss 50 strict,-28.79,"too_few_trades,weak_profit_factor",0.43,0.0,0.0,0
stocks,cfg_01,Balanced fixed 10d,-42.44,"weak_profit_factor,negative_oos_expectancy,train_test_collapse",0.41,-0.8,0.78,7
stocks,cfg_10,Hybrid 15/8/30 strict,-45.36,"too_few_trades,weak_profit_factor",3.28,0.0,0.0,0
stocks,cfg_04,High quality fixed 30d,-51.5,"too_few_trades,weak_profit_factor",18.25,0.0,0.0,0
etfs,cfg_02,Balanced fixed 20d,13.7,too_few_trades,1.02,1.02,1.47,5
etfs,cfg_04,High quality fixed 30d,6.75,too_few_trades,-1.5,2.0,3.99,2
etfs,cfg_12,Balanced hybrid 12/7/15,5.82,too_few_trades,1.27,0.9,1.4,6
etfs,cfg_08,Signal loss 50 strict,-3.84,too_few_trades,-1.66,1.45,1.52,4
etfs,cfg_03,Conservative fixed 15d,-9.09,too_few_trades,-0.19,0.34,1.29,5
etfs,cfg_10,Hybrid 15/8/30 strict,-16.78,too_few_trades,-1.84,0.86,1.3,4
etfs,cfg_06,TP12 SL7 strict,-36.35,"too_few_trades,negative_oos_expectancy",-1.56,-0.08,0.98,4
etfs,cfg_05,TP8 SL5,-43.86,"weak_profit_factor,negative_oos_expectancy,train_test_collapse",0.07,-0.78,0.74,7
etfs,cfg_11,Relaxed hybrid 20/10/30,-73.41,"weak_profit_factor,negative_oos_expectancy",-1.91,-3.16,0.38,21
crypto,cfg_01,Balanced fixed 10d,-15.57,negative_oos_expectancy,-1.05,-0.08,0.97,12
crypto,cfg_05,TP8 SL5,-18.24,"negative_oos_expectancy,train_test_collapse",0.21,-0.01,1.0,10
crypto,cfg_09,Hybrid 10/5/20,-18.6,negative_oos_expectancy,-0.92,-0.33,0.9,8
crypto,cfg_12,Balanced hybrid 12/7/15,-27.3,"too_few_trades,weak_profit_factor",0.39,0.0,0.0,0
crypto,cfg_03,Conservative fixed 15d,-27.84,"too_few_trades,weak_profit_factor",2.33,0.0,0.0,0
crypto,cfg_06,TP12 SL7 strict,-27.86,"too_few_trades,weak_profit_factor",2.28,0.0,0.0,0
crypto,cfg_08,Signal loss 50 strict,-33.5,"too_few_trades,weak_profit_factor",6.44,0.0,0.0,0
crypto,cfg_04,High quality fixed 30d,-35.0,"too_few_trades,weak_profit_factor",0.0,0.0,0.0,0
crypto,cfg_10,Hybrid 15/8/30 strict,-35.0,"too_few_trades,weak_profit_factor",0.0,0.0,0.0,0
crypto,cfg_11,Relaxed hybrid 20/10/30,-53.55,"weak_profit_factor,negative_oos_expectancy",-2.43,-1.39,0.4,9
