universe,config_id,label,strategy_score,train_total_trades,test_total_trades,train_expectancy_pct,test_expectancy_pct,train_profit_factor,test_profit_factor,train_max_drawdown_pct,test_max_drawdown_pct
mixed,cfg_07,Signal loss 40,46.06,376,164,0.59,112.1,1.42,114.56,6.71,3.01
mixed,cfg_01,Balanced fixed 10d,45.31,564,271,0.34,69.64,1.3,91.4,7.26,3.01
mixed,cfg_09,Hybrid 10/5/20,29.02,345,152,0.42,0.85,1.31,1.92,6.19,2.8
mixed,cfg_12,Balanced hybrid 12/7/15,13.87,299,133,0.25,0.4,1.21,1.46,5.18,2.67
stocks,cfg_01,Balanced fixed 10d,34.69,132,73,1.18,1.38,1.66,1.74,2.98,2.26
stocks,cfg_07,Signal loss 40,22.67,75,41,1.33,1.01,1.6,1.41,2.8,2.09
stocks,cfg_09,Hybrid 10/5/20,11.89,71,41,0.58,0.55,1.27,1.25,2.39,2.31
stocks,cfg_12,Balanced hybrid 12/7/15,-33.77,19,30,-1.55,-0.37,0.39,0.84,1.84,2.33
etfs,cfg_07,Signal loss 40,45.83,323,147,0.48,125.01,1.39,143.79,6.71,2.9
etfs,cfg_01,Balanced fixed 10d,45.02,482,232,0.26,81.02,1.26,123.43,6.62,3.07
etfs,cfg_09,Hybrid 10/5/20,29.31,303,136,0.37,0.92,1.31,2.13,6.1,2.83
etfs,cfg_12,Balanced hybrid 12/7/15,23.06,287,121,0.29,0.56,1.25,1.76,5.18,2.55
crypto,cfg_01,Balanced fixed 10d,41.37,12,5,-0.27,2.46,0.92,4.88,0.7,0.06
crypto,cfg_07,Signal loss 40,-32.42,3,0,5.57,0.0,3.54,0.0,0.15,0.0
crypto,cfg_09,Hybrid 10/5/20,-35.0,2,0,9.79,0.0,19.58,0.0,0.0,0.0
crypto,cfg_12,Balanced hybrid 12/7/15,-58.5,1,0,-7.21,0.0,0.0,0.0,0.0,0.0
