universe,config_id,label,strategy_score,train_total_trades,test_total_trades,train_expectancy_pct,test_expectancy_pct,train_profit_factor,test_profit_factor,train_max_drawdown_pct,test_max_drawdown_pct
mixed,cfg_02,Balanced fixed 20d,49.26,259,126,1.1,146.19,2.0,199.63,5.41,1.16
mixed,cfg_07,Signal loss 40,46.06,376,164,0.59,112.1,1.42,114.56,6.71,3.01
mixed,cfg_08,Signal loss 50 strict,45.99,178,78,0.22,234.76,1.14,228.33,4.26,1.85
mixed,cfg_01,Balanced fixed 10d,45.31,564,271,0.34,69.64,1.3,91.4,7.26,3.01
mixed,cfg_04,High quality fixed 30d,38.67,80,33,0.04,1.99,1.02,5.42,5.61,0.52
mixed,cfg_06,TP12 SL7 strict,36.67,142,69,0.21,1.74,1.11,3.01,6.35,1.42
mixed,cfg_05,TP8 SL5,34.77,302,139,0.66,1.37,1.47,2.55,5.4,2.78
mixed,cfg_10,Hybrid 15/8/30 strict,30.16,92,36,0.38,0.81,1.35,1.95,2.53,0.9
mixed,cfg_09,Hybrid 10/5/20,29.02,345,152,0.42,0.85,1.31,1.92,6.19,2.8
mixed,cfg_03,Conservative fixed 15d,28.04,190,95,0.52,0.6,1.61,1.92,3.45,2.13
mixed,cfg_11,Relaxed hybrid 20/10/30,18.94,579,267,0.32,0.68,1.23,1.58,6.21,3.45
mixed,cfg_12,Balanced hybrid 12/7/15,13.87,299,133,0.25,0.4,1.21,1.46,5.18,2.67
stocks,cfg_02,Balanced fixed 20d,45.26,41,30,3.27,1.97,2.9,1.76,1.1,2.19
stocks,cfg_01,Balanced fixed 10d,34.69,132,73,1.18,1.38,1.66,1.74,2.98,2.26
stocks,cfg_07,Signal loss 40,22.67,75,41,1.33,1.01,1.6,1.41,2.8,2.09
stocks,cfg_03,Conservative fixed 15d,12.15,7,17,-0.37,0.76,0.79,1.35,0.36,1.14
stocks,cfg_11,Relaxed hybrid 20/10/30,11.9,260,106,0.25,0.64,1.13,1.32,6.38,3.24
stocks,cfg_09,Hybrid 10/5/20,11.89,71,41,0.58,0.55,1.27,1.25,2.39,2.31
stocks,cfg_06,TP12 SL7 strict,-2.72,9,14,-1.77,0.53,0.63,1.15,0.93,1.38
stocks,cfg_08,Signal loss 50 strict,-11.31,10,17,-1.92,0.02,0.46,1.01,1.27,1.3
stocks,cfg_05,TP8 SL5,-22.11,60,41,1.08,-0.11,1.45,0.96,2.51,2.41
stocks,cfg_12,Balanced hybrid 12/7/15,-33.77,19,30,-1.55,-0.37,0.39,0.84,1.84,2.33
stocks,cfg_10,Hybrid 15/8/30 strict,-89.15,3,2,-1.7,-2.79,0.0,0.0,0.12,0.15
stocks,cfg_04,High quality fixed 30d,-115.91,2,2,-4.12,-9.63,0.0,0.0,0.29,0.15
etfs,cfg_02,Balanced fixed 20d,48.42,227,115,0.77,160.34,1.74,364.63,5.18,0.99
etfs,cfg_08,Signal loss 50 strict,46.09,170,71,0.17,258.12,1.12,311.99,4.22,1.58
etfs,cfg_07,Signal loss 40,45.83,323,147,0.48,125.01,1.39,143.79,6.71,2.9
etfs,cfg_01,Balanced fixed 10d,45.02,482,232,0.26,81.02,1.26,123.43,6.62,3.07
etfs,cfg_04,High quality fixed 30d,38.67,80,33,0.04,1.99,1.02,5.42,5.61,0.52
etfs,cfg_06,TP12 SL7 strict,37.48,136,63,0.11,1.88,1.06,4.13,6.35,1.23
etfs,cfg_05,TP8 SL5,36.09,264,122,0.6,1.54,1.47,3.33,5.4,2.55
etfs,cfg_10,Hybrid 15/8/30 strict,30.16,92,36,0.38,0.81,1.35,1.95,2.53,0.9
etfs,cfg_09,Hybrid 10/5/20,29.31,303,136,0.37,0.92,1.31,2.13,6.1,2.83
etfs,cfg_11,Relaxed hybrid 20/10/30,28.71,395,188,0.38,0.9,1.33,1.95,5.61,3.37
etfs,cfg_03,Conservative fixed 15d,28.36,183,88,0.45,0.67,1.53,2.2,3.45,2.01
etfs,cfg_12,Balanced hybrid 12/7/15,23.06,287,121,0.29,0.56,1.25,1.76,5.18,2.55
crypto,cfg_01,Balanced fixed 10d,41.37,12,5,-0.27,2.46,0.92,4.88,0.7,0.06
crypto,cfg_11,Relaxed hybrid 20/10/30,14.27,43,12,0.15,0.45,1.07,1.39,0.43,0.14
crypto,cfg_07,Signal loss 40,-32.42,3,0,5.57,0.0,3.54,0.0,0.15,0.0
crypto,cfg_02,Balanced fixed 20d,-35.0,2,0,10.24,0.0,8.34,0.0,0.06,0.0
crypto,cfg_04,High quality fixed 30d,-35.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
crypto,cfg_03,Conservative fixed 15d,-35.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
crypto,cfg_06,TP12 SL7 strict,-35.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
crypto,cfg_05,TP8 SL5,-35.0,2,0,7.79,0.0,15.58,0.0,0.0,0.0
crypto,cfg_08,Signal loss 50 strict,-35.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
crypto,cfg_09,Hybrid 10/5/20,-35.0,2,0,9.79,0.0,19.58,0.0,0.0,0.0
crypto,cfg_10,Hybrid 15/8/30 strict,-35.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
crypto,cfg_12,Balanced hybrid 12/7/15,-58.5,1,0,-7.21,0.0,0.0,0.0,0.0,0.0
