universe,rank,config_id,label,parameters,train_total_trades,test_total_trades,train_expectancy_pct,test_expectancy_pct,train_profit_factor,test_profit_factor,train_avg_return_pct,test_avg_return_pct,train_max_drawdown_pct,test_max_drawdown_pct,strategy_score,discard_reasons
etfs,1,cfg_01,Balanced fixed 10d,"min_final_score=65; max_risk_score=55; max_rsi14=60; require_bullish_trend=False; allowed_recommendations=('BUY_CANDIDATE', 'WATCH'); max_distance_to_support_pct=8.0; exit_strategy=fixed_horizon; fixed_horizon_days=10; max_holding_days=10",36,11,0.69,2.51,1.59,3.19,0.69,2.51,0.75,0.45,46.73,
stocks,1,cfg_09,Hybrid 10/5/20,"min_final_score=70; max_risk_score=55; max_rsi14=55; require_bullish_trend=False; allowed_recommendations=('BUY_CANDIDATE', 'WATCH'); max_distance_to_support_pct=5.0; exit_strategy=hybrid; fixed_horizon_days=20; take_profit_pct=0.1; stop_loss_pct=0.05; signal_loss_score_threshold=45; max_holding_days=20",29,5,1.64,1.54,1.72,1.74,1.64,1.54,0.64,0.12,40.0,
stocks,2,cfg_05,TP8 SL5,"min_final_score=70; max_risk_score=55; max_rsi14=55; require_bullish_trend=False; allowed_recommendations=('BUY_CANDIDATE', 'WATCH'); max_distance_to_support_pct=8.0; exit_strategy=take_profit_stop_loss; take_profit_pct=0.08; stop_loss_pct=0.05; max_holding_days=20",33,5,0.91,1.14,1.38,1.55,0.91,1.14,0.93,0.12,28.34,
mixed,1,cfg_12,Balanced hybrid 12/7/15,"min_final_score=70; max_risk_score=45; max_rsi14=50; require_bullish_trend=True; allowed_recommendations=('BUY_CANDIDATE', 'WATCH'); max_distance_to_support_pct=3.0; exit_strategy=hybrid; fixed_horizon_days=15; take_profit_pct=0.12; stop_loss_pct=0.07; signal_loss_score_threshold=45; max_holding_days=20",22,6,1.45,0.9,1.6,1.4,1.45,0.9,0.7,0.52,22.41,
stocks,3,cfg_11,Relaxed hybrid 20/10/30,"min_final_score=60; max_risk_score=65; max_rsi14=65; require_bullish_trend=False; allowed_recommendations=('BUY_CANDIDATE', 'WATCH'); max_distance_to_support_pct=12.0; exit_strategy=hybrid; fixed_horizon_days=30; take_profit_pct=0.2; stop_loss_pct=0.1; signal_loss_score_threshold=55; max_holding_days=30",63,37,2.41,0.86,1.71,1.24,2.41,0.86,2.78,1.12,17.81,
mixed,2,cfg_03,Conservative fixed 15d,"min_final_score=75; max_risk_score=45; max_rsi14=50; require_bullish_trend=True; allowed_recommendations=('BUY_CANDIDATE',); max_distance_to_support_pct=3.0; exit_strategy=fixed_horizon; fixed_horizon_days=15; max_holding_days=15",17,5,1.35,0.34,1.57,1.29,1.35,0.34,0.96,0.21,12.33,
mixed,3,cfg_01,Balanced fixed 10d,"min_final_score=65; max_risk_score=55; max_rsi14=60; require_bullish_trend=False; allowed_recommendations=('BUY_CANDIDATE', 'WATCH'); max_distance_to_support_pct=8.0; exit_strategy=fixed_horizon; fixed_horizon_days=10; max_holding_days=10",90,21,0.36,0.42,1.18,1.16,0.36,0.42,2.1,1.07,8.59,
crypto,1,cfg_07,Signal loss 40,"min_final_score=70; max_risk_score=55; max_rsi14=60; require_bullish_trend=False; allowed_recommendations=('BUY_CANDIDATE', 'WATCH'); max_distance_to_support_pct=8.0; exit_strategy=signal_loss; signal_loss_score_threshold=40; max_holding_days=20",13,7,-1.58,0.77,0.65,1.35,-1.58,0.77,1.07,0.24,6.39,
etfs,2,cfg_09,Hybrid 10/5/20,"min_final_score=70; max_risk_score=55; max_rsi14=55; require_bullish_trend=False; allowed_recommendations=('BUY_CANDIDATE', 'WATCH'); max_distance_to_support_pct=5.0; exit_strategy=hybrid; fixed_horizon_days=20; take_profit_pct=0.1; stop_loss_pct=0.05; signal_loss_score_threshold=45; max_holding_days=20",15,9,0.45,0.19,1.21,1.08,0.45,0.19,0.95,0.65,4.21,
crypto,2,cfg_02,Balanced fixed 20d,"min_final_score=70; max_risk_score=55; max_rsi14=55; require_bullish_trend=True; allowed_recommendations=('BUY_CANDIDATE', 'WATCH'); max_distance_to_support_pct=5.0; exit_strategy=fixed_horizon; fixed_horizon_days=20; max_holding_days=20",12,6,-0.28,-0.0,0.92,1.0,-0.28,0.0,0.67,0.18,-1.7,
etfs,3,cfg_07,Signal loss 40,"min_final_score=70; max_risk_score=55; max_rsi14=60; require_bullish_trend=False; allowed_recommendations=('BUY_CANDIDATE', 'WATCH'); max_distance_to_support_pct=8.0; exit_strategy=signal_loss; signal_loss_score_threshold=40; max_holding_days=20",15,7,-2.79,0.3,0.45,1.13,-2.79,0.3,0.73,0.54,-10.03,
crypto,3,cfg_01,Balanced fixed 10d,"min_final_score=65; max_risk_score=55; max_rsi14=60; require_bullish_trend=False; allowed_recommendations=('BUY_CANDIDATE', 'WATCH'); max_distance_to_support_pct=8.0; exit_strategy=fixed_horizon; fixed_horizon_days=10; max_holding_days=10",25,12,-1.05,-0.08,0.69,0.97,-1.05,-0.08,1.03,0.4,-15.57,negative_oos_expectancy
crypto,4,cfg_05,TP8 SL5,"min_final_score=70; max_risk_score=55; max_rsi14=55; require_bullish_trend=False; allowed_recommendations=('BUY_CANDIDATE', 'WATCH'); max_distance_to_support_pct=8.0; exit_strategy=take_profit_stop_loss; take_profit_pct=0.08; stop_loss_pct=0.05; max_holding_days=20",24,10,0.21,-0.01,1.07,1.0,0.21,-0.01,0.51,0.23,-18.24,"negative_oos_expectancy,train_test_collapse"
mixed,4,cfg_09,Hybrid 10/5/20,"min_final_score=70; max_risk_score=55; max_rsi14=55; require_bullish_trend=False; allowed_recommendations=('BUY_CANDIDATE', 'WATCH'); max_distance_to_support_pct=5.0; exit_strategy=hybrid; fixed_horizon_days=20; take_profit_pct=0.1; stop_loss_pct=0.05; signal_loss_score_threshold=45; max_holding_days=20",54,16,1.04,-0.06,1.43,0.98,1.04,-0.06,1.08,0.66,-19.38,"negative_oos_expectancy,train_test_collapse"
