exit_candidate,stop_loss_warning,take_profit,trim_position,reduce_risk,rebalance_sell,total_trades,profit_factor,expectancy_pct,portfolio_return_pct,max_drawdown_pct,buy_count,sell_partial_count,sell_full_count,strategy_score
100.0,100.0,40.0,10.0,20.0,10.0,789,1.76,0.53,-3.6,12.166,351,440,50,0.594
100.0,100.0,40.0,10.0,20.0,20.0,789,1.76,0.53,-3.6,12.166,351,440,50,0.594
100.0,100.0,25.0,10.0,20.0,10.0,789,1.76,0.53,-4.7,12.166,351,440,50,0.209
100.0,100.0,25.0,10.0,20.0,20.0,789,1.76,0.53,-4.7,12.166,351,440,50,0.209
100.0,100.0,40.0,10.0,35.0,10.0,791,1.71,0.46,-4.43,12.284,353,440,50,0.165
100.0,100.0,40.0,10.0,35.0,20.0,791,1.71,0.46,-4.43,12.284,353,440,50,0.165
100.0,100.0,25.0,10.0,35.0,10.0,791,1.71,0.46,-5.52,12.284,353,440,50,-0.217
100.0,100.0,25.0,10.0,35.0,20.0,791,1.71,0.46,-5.52,12.284,353,440,50,-0.217
100.0,100.0,25.0,20.0,20.0,10.0,818,1.23,0.17,-6.89,11.558,417,404,50,-1.634
100.0,100.0,25.0,20.0,20.0,20.0,818,1.23,0.17,-6.89,11.558,417,404,50,-1.634
100.0,100.0,40.0,20.0,20.0,10.0,818,1.23,0.17,-6.89,11.558,417,404,50,-1.634
100.0,100.0,40.0,20.0,20.0,20.0,818,1.23,0.17,-6.89,11.558,417,404,50,-1.634
100.0,100.0,25.0,20.0,35.0,10.0,820,1.19,0.13,-7.7,11.14,419,404,50,-1.947
100.0,100.0,25.0,20.0,35.0,20.0,820,1.19,0.13,-7.7,11.14,419,404,50,-1.947
100.0,100.0,40.0,20.0,35.0,10.0,820,1.19,0.13,-7.7,11.14,419,404,50,-1.947
100.0,100.0,40.0,20.0,35.0,20.0,820,1.19,0.13,-7.7,11.14,419,404,50,-1.947
