buy_pct_bullish_divergence,buy_pct_rsi_25,buy_pct_rsi_20,sell_pct_bearish_divergence,sell_pct_rsi_75,sell_pct_rsi_80,train_trades,test_trades,train_win_rate,test_win_rate,train_expectancy,test_expectancy,train_profit_factor,test_profit_factor,train_max_dd,test_max_dd,train_portfolio_return,test_portfolio_return,train_return_to_dd,test_return_to_dd,train_buy_count,test_buy_count,score
15.0,15.0,20.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
15.0,15.0,30.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
15.0,15.0,40.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
15.0,20.0,20.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
15.0,20.0,30.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
15.0,20.0,40.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
25.0,15.0,20.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
25.0,15.0,30.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
25.0,15.0,40.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
25.0,20.0,20.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
25.0,20.0,30.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
25.0,20.0,40.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
35.0,15.0,20.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
35.0,15.0,30.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
35.0,15.0,40.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
35.0,20.0,20.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
35.0,20.0,30.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
35.0,20.0,40.0,50.0,25.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.61,-2.57,5.51,0.0,2,3,3084.989
15.0,15.0,20.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
15.0,15.0,30.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
15.0,15.0,40.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
15.0,20.0,20.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
15.0,20.0,30.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
15.0,20.0,40.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
25.0,15.0,20.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
25.0,15.0,30.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
25.0,15.0,40.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
25.0,20.0,20.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
25.0,20.0,30.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
25.0,20.0,40.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
35.0,15.0,20.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
35.0,15.0,30.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
35.0,15.0,40.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
35.0,20.0,20.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
35.0,20.0,30.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
35.0,20.0,40.0,50.0,15.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.94,-2.57,5.49,0.0,2,3,3084.8125
15.0,15.0,20.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
15.0,15.0,30.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
15.0,15.0,40.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
15.0,20.0,20.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
15.0,20.0,30.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
15.0,20.0,40.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
25.0,15.0,20.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
25.0,15.0,30.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
25.0,15.0,40.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
25.0,20.0,20.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
25.0,20.0,30.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
25.0,20.0,40.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
35.0,15.0,20.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
35.0,15.0,30.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
35.0,15.0,40.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
35.0,20.0,20.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
35.0,20.0,30.0,50.0,35.0,25.0,12,0,100.0,0.0,101.83,0.0,1221.99,0.0,0.0,0.0,7.36,-2.57,5.44,0.0,2,3,3084.4415
