buy_div_pct,buy_rsi25_pct,buy_rsi20_pct,sell_div_pct,sell_rsi75_pct,sell_rsi80_pct,total_trades,win_rate,expectancy,profit_factor,max_drawdown,portfolio_return,final_capital,buy_count,sell_partial_count,sell_full_count,score
20.0,15.0,25.0,50.0,35.0,30.0,16,100.0,100.17,1602.77,0.0,5.2,105200.07,5,15,0,3016.375
20.0,15.0,35.0,50.0,35.0,30.0,16,100.0,100.17,1602.77,0.0,5.2,105200.07,5,15,0,3016.375
20.0,20.0,25.0,50.0,35.0,30.0,16,100.0,100.17,1602.77,0.0,5.2,105200.07,5,15,0,3016.375
20.0,20.0,35.0,50.0,35.0,30.0,16,100.0,100.17,1602.77,0.0,5.2,105200.07,5,15,0,3016.375
30.0,15.0,25.0,50.0,35.0,30.0,16,100.0,100.17,1602.77,0.0,5.2,105200.07,5,15,0,3016.375
30.0,15.0,35.0,50.0,35.0,30.0,16,100.0,100.17,1602.77,0.0,5.2,105200.07,5,15,0,3016.375
30.0,20.0,25.0,50.0,35.0,30.0,16,100.0,100.17,1602.77,0.0,5.2,105200.07,5,15,0,3016.375
30.0,20.0,35.0,50.0,35.0,30.0,16,100.0,100.17,1602.77,0.0,5.2,105200.07,5,15,0,3016.375
20.0,15.0,25.0,50.0,25.0,30.0,16,100.0,100.17,1602.77,0.0,4.99,104992.58,5,15,0,3016.165
20.0,15.0,35.0,50.0,25.0,30.0,16,100.0,100.17,1602.77,0.0,4.99,104992.58,5,15,0,3016.165
20.0,20.0,25.0,50.0,25.0,30.0,16,100.0,100.17,1602.77,0.0,4.99,104992.58,5,15,0,3016.165
20.0,20.0,35.0,50.0,25.0,30.0,16,100.0,100.17,1602.77,0.0,4.99,104992.58,5,15,0,3016.165
30.0,15.0,25.0,50.0,25.0,30.0,16,100.0,100.17,1602.77,0.0,4.99,104992.58,5,15,0,3016.165
30.0,15.0,35.0,50.0,25.0,30.0,16,100.0,100.17,1602.77,0.0,4.99,104992.58,5,15,0,3016.165
30.0,20.0,25.0,50.0,25.0,30.0,16,100.0,100.17,1602.77,0.0,4.99,104992.58,5,15,0,3016.165
30.0,20.0,35.0,50.0,25.0,30.0,16,100.0,100.17,1602.77,0.0,4.99,104992.58,5,15,0,3016.165
20.0,15.0,25.0,50.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,4.65,104652.29,5,15,0,3015.825
20.0,15.0,35.0,50.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,4.65,104652.29,5,15,0,3015.825
20.0,20.0,25.0,50.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,4.65,104652.29,5,15,0,3015.825
20.0,20.0,35.0,50.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,4.65,104652.29,5,15,0,3015.825
30.0,15.0,25.0,50.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,4.65,104652.29,5,15,0,3015.825
30.0,15.0,35.0,50.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,4.65,104652.29,5,15,0,3015.825
30.0,20.0,25.0,50.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,4.65,104652.29,5,15,0,3015.825
30.0,20.0,35.0,50.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,4.65,104652.29,5,15,0,3015.825
20.0,15.0,25.0,75.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,3.37,103373.98,5,15,0,3014.545
20.0,15.0,35.0,75.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,3.37,103373.98,5,15,0,3014.545
20.0,20.0,25.0,75.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,3.37,103373.98,5,15,0,3014.545
20.0,20.0,35.0,75.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,3.37,103373.98,5,15,0,3014.545
30.0,15.0,25.0,75.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,3.37,103373.98,5,15,0,3014.545
30.0,15.0,35.0,75.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,3.37,103373.98,5,15,0,3014.545
30.0,20.0,25.0,75.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,3.37,103373.98,5,15,0,3014.545
30.0,20.0,35.0,75.0,15.0,30.0,16,100.0,100.17,1602.77,0.0,3.37,103373.98,5,15,0,3014.545
20.0,10.0,25.0,75.0,15.0,30.0,17,100.0,92.56,1573.46,0.0,2.91,102908.45,6,15,0,2924.46
20.0,10.0,35.0,75.0,15.0,30.0,17,100.0,92.56,1573.46,0.0,2.91,102908.45,6,15,0,2924.46
30.0,10.0,25.0,75.0,15.0,30.0,17,100.0,92.56,1573.46,0.0,2.91,102908.45,6,15,0,2924.46
30.0,10.0,35.0,75.0,15.0,30.0,17,100.0,92.56,1573.46,0.0,2.91,102908.45,6,15,0,2924.46
20.0,10.0,25.0,50.0,35.0,30.0,17,100.0,92.32,1569.41,0.0,4.55,104550.44,6,15,0,2918.585
20.0,10.0,35.0,50.0,35.0,30.0,17,100.0,92.32,1569.41,0.0,4.55,104550.44,6,15,0,2918.585
30.0,10.0,25.0,50.0,35.0,30.0,17,100.0,92.32,1569.41,0.0,4.55,104550.44,6,15,0,2918.585
30.0,10.0,35.0,50.0,35.0,30.0,17,100.0,92.32,1569.41,0.0,4.55,104550.44,6,15,0,2918.585
20.0,10.0,25.0,50.0,25.0,30.0,17,100.0,92.32,1569.41,0.0,4.43,104431.36,6,15,0,2918.465
20.0,10.0,35.0,50.0,25.0,30.0,17,100.0,92.32,1569.41,0.0,4.43,104431.36,6,15,0,2918.465
30.0,10.0,25.0,50.0,25.0,30.0,17,100.0,92.32,1569.41,0.0,4.43,104431.36,6,15,0,2918.465
