universe,candidate_config_id,candidate_label,train_total_trades,test_total_trades,train_expectancy_pct,test_expectancy_pct,train_profit_factor,test_profit_factor,train_max_drawdown_pct,test_max_drawdown_pct,weighted_universe_score,universe_score,universe_weight,iteration_id,iteration_label,variant_id,variant_label
etfs_equity_broad,cfg_02,Balanced fixed 20d,74,44,1.11,1.0,1.82,1.93,4.64,1.86,16.67,23.81,0.7,etf_trend,ETF trend tuning,etf_trend_control,Control
etfs_defensive_bonds,cfg_01,Balanced fixed 10d,118,47,-0.38,-0.4,0.16,0.15,2.48,1.16,-5.53,-18.43,0.3,etf_trend,ETF trend tuning,etf_trend_control,Control
etfs_equity_broad,cfg_02,Balanced fixed 20d,71,43,1.11,0.77,1.76,1.64,4.8,2.07,12.23,17.47,0.7,etf_trend,ETF trend tuning,etf_trend_defensive,More defensive slow trend
etfs_defensive_bonds,cfg_01,Balanced fixed 10d,107,44,-0.34,-0.42,0.17,0.15,2.06,1.13,-5.55,-18.5,0.3,etf_trend,ETF trend tuning,etf_trend_defensive,More defensive slow trend
etfs_equity_broad,cfg_02,Balanced fixed 20d,73,43,1.16,0.94,1.88,1.85,4.63,1.88,15.69,22.41,0.7,etf_trend,ETF trend tuning,etf_trend_fast,Faster ETF recovery
etfs_defensive_bonds,cfg_01,Balanced fixed 10d,121,48,-0.35,-0.35,0.24,0.25,2.4,1.06,-4.9,-16.34,0.3,etf_trend,ETF trend tuning,etf_trend_fast,Faster ETF recovery
etfs_equity_broad,cfg_02,Balanced fixed 20d,72,43,1.27,0.94,2.01,1.85,4.35,1.88,16.04,22.91,0.7,etf_trend,ETF trend tuning,etf_trend_balanced,Balanced ETF trend
etfs_defensive_bonds,cfg_01,Balanced fixed 10d,118,46,-0.38,-0.41,0.16,0.15,2.48,1.15,-5.56,-18.52,0.3,etf_trend,ETF trend tuning,etf_trend_balanced,Balanced ETF trend
etfs_equity_broad,cfg_02,Balanced fixed 20d,74,44,1.11,1.0,1.82,1.93,4.64,1.86,16.67,23.81,0.7,etf_support,ETF support tuning,etf_support_control,Control
etfs_defensive_bonds,cfg_01,Balanced fixed 10d,118,47,-0.38,-0.4,0.16,0.15,2.48,1.16,-5.53,-18.43,0.3,etf_support,ETF support tuning,etf_support_control,Control
etfs_equity_broad,cfg_02,Balanced fixed 20d,72,44,1.27,0.88,2.01,1.75,4.35,2.04,14.61,20.87,0.7,etf_support,ETF support tuning,etf_support_strict,Tight support discipline
etfs_defensive_bonds,cfg_01,Balanced fixed 10d,118,47,-0.38,-0.4,0.16,0.15,2.47,1.15,-5.53,-18.42,0.3,etf_support,ETF support tuning,etf_support_strict,Tight support discipline
etfs_equity_broad,cfg_02,Balanced fixed 20d,74,44,1.11,1.0,1.82,1.93,4.64,1.86,16.67,23.81,0.7,etf_support,ETF support tuning,etf_support_balanced,Balanced support handling
etfs_defensive_bonds,cfg_01,Balanced fixed 10d,118,47,-0.38,-0.4,0.16,0.15,2.48,1.16,-5.53,-18.43,0.3,etf_support,ETF support tuning,etf_support_balanced,Balanced support handling
etfs_equity_broad,cfg_02,Balanced fixed 20d,75,44,1.0,0.95,1.7,1.87,4.99,1.87,15.44,22.06,0.7,etf_support,ETF support tuning,etf_support_lenient,Lenient ETF support handling
etfs_defensive_bonds,cfg_01,Balanced fixed 10d,118,47,-0.38,-0.4,0.16,0.15,2.49,1.17,-5.53,-18.44,0.3,etf_support,ETF support tuning,etf_support_lenient,Lenient ETF support handling
etfs_equity_broad,cfg_02,Balanced fixed 20d,74,44,1.11,1.0,1.82,1.93,4.64,1.86,16.67,23.81,0.7,etf_recommendation,ETF recommendation gating,etf_recommendation_control,Control
etfs_defensive_bonds,cfg_01,Balanced fixed 10d,118,47,-0.38,-0.4,0.16,0.15,2.48,1.16,-5.53,-18.43,0.3,etf_recommendation,ETF recommendation gating,etf_recommendation_control,Control
etfs_equity_broad,cfg_02,Balanced fixed 20d,74,44,1.11,1.0,1.82,1.93,4.64,1.86,16.67,23.81,0.7,etf_recommendation,ETF recommendation gating,etf_recommendation_buy_70,Buy threshold 70
etfs_defensive_bonds,cfg_01,Balanced fixed 10d,118,47,-0.38,-0.4,0.16,0.15,2.48,1.16,-5.53,-18.43,0.3,etf_recommendation,ETF recommendation gating,etf_recommendation_buy_70,Buy threshold 70
etfs_equity_broad,cfg_02,Balanced fixed 20d,74,44,1.11,1.0,1.82,1.93,4.64,1.86,16.67,23.81,0.7,etf_recommendation,ETF recommendation gating,etf_recommendation_buy_69,Buy threshold 69
etfs_defensive_bonds,cfg_01,Balanced fixed 10d,118,47,-0.38,-0.4,0.16,0.15,2.48,1.16,-5.53,-18.43,0.3,etf_recommendation,ETF recommendation gating,etf_recommendation_buy_69,Buy threshold 69
etfs_equity_broad,cfg_02,Balanced fixed 20d,74,44,1.11,1.0,1.82,1.93,4.64,1.86,16.67,23.81,0.7,etf_recommendation,ETF recommendation gating,etf_recommendation_balanced,Buy 70 and risk 70
etfs_defensive_bonds,cfg_01,Balanced fixed 10d,118,47,-0.38,-0.4,0.16,0.15,2.48,1.16,-5.53,-18.43,0.3,etf_recommendation,ETF recommendation gating,etf_recommendation_balanced,Buy 70 and risk 70
