"iteration_id","universe","candidate_config_id","candidate_label","train_total_trades","test_total_trades","train_expectancy_pct","test_expectancy_pct","train_profit_factor","test_profit_factor","train_max_drawdown_pct","test_max_drawdown_pct","weighted_universe_score","universe_score","universe_weight","variant_id","variant_label","is_winner"
"recommendation","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","recommendation_balanced","Lower buy and mild risk easing","False"
"recommendation","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","recommendation_control","Control","True"
"recommendation","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","recommendation_eased_buy","Lower buy threshold","False"
"recommendation","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","recommendation_eased_risk","Higher risk tolerance","False"
"recommendation","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,18","-0,46","1,21","0,64","1,5","1,04","-2,43","-9,72","0,25","recommendation_balanced","Lower buy and mild risk easing","False"
"recommendation","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,18","-0,46","1,21","0,64","1,5","1,04","-2,43","-9,72","0,25","recommendation_control","Control","True"
"recommendation","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,18","-0,46","1,21","0,64","1,5","1,04","-2,43","-9,72","0,25","recommendation_eased_buy","Lower buy threshold","False"
"recommendation","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,18","-0,46","1,21","0,64","1,5","1,04","-2,43","-9,72","0,25","recommendation_eased_risk","Higher risk tolerance","False"
"recommendation","mixed_reference","cfg_12","Balanced hybrid 12/7/15","55","21","0,01","0,16","1","1,17","2,8","0,51","1,03","2,94","0,35","recommendation_balanced","Lower buy and mild risk easing","False"
"recommendation","mixed_reference","cfg_12","Balanced hybrid 12/7/15","55","21","0,01","0,16","1","1,17","2,8","0,51","1,03","2,94","0,35","recommendation_control","Control","True"
"recommendation","mixed_reference","cfg_12","Balanced hybrid 12/7/15","55","21","0,01","0,16","1","1,17","2,8","0,51","1,03","2,94","0,35","recommendation_eased_buy","Lower buy threshold","False"
"recommendation","mixed_reference","cfg_12","Balanced hybrid 12/7/15","55","21","0,01","0,16","1","1,17","2,8","0,51","1,03","2,94","0,35","recommendation_eased_risk","Higher risk tolerance","False"
"recommendation","stocks_reference","cfg_09","Hybrid 10/5/20","33","12","-0,48","0,73","0,8","1,39","1,41","0,42","2,6","8,67","0,3","recommendation_balanced","Lower buy and mild risk easing","False"
"recommendation","stocks_reference","cfg_09","Hybrid 10/5/20","33","12","-0,48","0,73","0,8","1,39","1,41","0,42","2,6","8,67","0,3","recommendation_control","Control","True"
"recommendation","stocks_reference","cfg_09","Hybrid 10/5/20","33","12","-0,48","0,73","0,8","1,39","1,41","0,42","2,6","8,67","0,3","recommendation_eased_buy","Lower buy threshold","False"
"recommendation","stocks_reference","cfg_09","Hybrid 10/5/20","33","12","-0,48","0,73","0,8","1,39","1,41","0,42","2,6","8,67","0,3","recommendation_eased_risk","Higher risk tolerance","False"
"shock","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","shock_aggressive","Aggressive shock","False"
"shock","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","shock_balanced","Balanced shock","False"
"shock","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","shock_control","Control","True"
"shock","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","shock_strict","Strict shock","False"
"shock","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,18","-0,46","1,21","0,64","1,5","1,04","-2,43","-9,72","0,25","shock_aggressive","Aggressive shock","False"
"shock","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,18","-0,46","1,21","0,64","1,5","1,04","-2,43","-9,72","0,25","shock_balanced","Balanced shock","False"
"shock","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,18","-0,46","1,21","0,64","1,5","1,04","-2,43","-9,72","0,25","shock_control","Control","True"
"shock","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,18","-0,46","1,21","0,64","1,5","1,04","-2,43","-9,72","0,25","shock_strict","Strict shock","False"
"shock","mixed_reference","cfg_12","Balanced hybrid 12/7/15","55","22","0,01","0,04","1","1,04","2,81","0,51","0,09","0,27","0,35","shock_aggressive","Aggressive shock","False"
"shock","mixed_reference","cfg_12","Balanced hybrid 12/7/15","55","22","0,01","0,04","1","1,04","2,81","0,51","0,09","0,27","0,35","shock_balanced","Balanced shock","False"
"shock","mixed_reference","cfg_12","Balanced hybrid 12/7/15","55","22","0,01","0,04","1","1,04","2,81","0,51","0,09","0,27","0,35","shock_control","Control","True"
"shock","mixed_reference","cfg_12","Balanced hybrid 12/7/15","55","22","0,01","0,04","1","1,04","2,81","0,51","0,09","0,27","0,35","shock_strict","Strict shock","False"
"shock","stocks_reference","cfg_09","Hybrid 10/5/20","33","13","-0,48","0,48","0,8","1,25","1,42","0,42","1,41","4,69","0,3","shock_aggressive","Aggressive shock","False"
"shock","stocks_reference","cfg_09","Hybrid 10/5/20","33","13","-0,48","0,48","0,8","1,25","1,42","0,42","1,41","4,69","0,3","shock_balanced","Balanced shock","False"
"shock","stocks_reference","cfg_09","Hybrid 10/5/20","33","13","-0,48","0,48","0,8","1,25","1,42","0,42","1,41","4,69","0,3","shock_control","Control","True"
"shock","stocks_reference","cfg_09","Hybrid 10/5/20","33","13","-0,48","0,48","0,8","1,25","1,42","0,42","1,41","4,69","0,3","shock_strict","Strict shock","False"
"support","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","support_balanced","Balanced overshoot handling","False"
"support","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","support_control","Control","False"
"support","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","support_lenient","Lenient overshoot handling","True"
"support","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","support_strict","Strict overshoot handling","False"
"support","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,18","-0,46","1,21","0,64","1,48","1,03","-2,43","-9,71","0,25","support_balanced","Balanced overshoot handling","False"
"support","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,18","-0,46","1,21","0,64","1,5","1,04","-2,43","-9,72","0,25","support_control","Control","False"
"support","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,18","-0,46","1,21","0,64","1,5","1,04","-2,43","-9,72","0,25","support_lenient","Lenient overshoot handling","True"
"support","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,16","-0,43","1,19","0,66","1,47","1","-2,3","-9,19","0,25","support_strict","Strict overshoot handling","False"
"support","mixed_reference","cfg_12","Balanced hybrid 12/7/15","54","21","-0,05","0,16","0,97","1,17","2,79","0,51","0,93","2,65","0,35","support_balanced","Balanced overshoot handling","False"
"support","mixed_reference","cfg_12","Balanced hybrid 12/7/15","55","22","0,01","0,04","1","1,04","2,81","0,51","0,09","0,27","0,35","support_control","Control","False"
"support","mixed_reference","cfg_12","Balanced hybrid 12/7/15","55","21","0,01","0,16","1","1,17","2,8","0,51","1,03","2,94","0,35","support_lenient","Lenient overshoot handling","True"
"support","mixed_reference","cfg_12","Balanced hybrid 12/7/15","51","21","-0,07","0,16","0,96","1,17","2,78","0,5","0,9","2,57","0,35","support_strict","Strict overshoot handling","False"
"support","stocks_reference","cfg_09","Hybrid 10/5/20","33","12","-0,48","0,73","0,8","1,39","1,49","0,42","2,6","8,67","0,3","support_balanced","Balanced overshoot handling","False"
"support","stocks_reference","cfg_09","Hybrid 10/5/20","33","13","-0,48","0,48","0,8","1,25","1,42","0,42","1,41","4,69","0,3","support_control","Control","False"
"support","stocks_reference","cfg_09","Hybrid 10/5/20","33","12","-0,48","0,73","0,8","1,39","1,41","0,42","2,6","8,67","0,3","support_lenient","Lenient overshoot handling","True"
"support","stocks_reference","cfg_09","Hybrid 10/5/20","31","12","-0,78","0,73","0,69","1,39","1,72","0,42","2,19","7,31","0,3","support_strict","Strict overshoot handling","False"
"trend","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","trend_balanced","Balanced trend","False"
"trend","crypto_reference","cfg_07","Signal loss 40","3","0","5,57","0","3,54","0","0,15","0","-0,67","-6,67","0,1","trend_control","Control","False"
"trend","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","trend_fast_recovery","Fast recovery bias","True"
"trend","crypto_reference","cfg_07","Signal loss 40","0","0","0","0","0","0","0","0","-2,6","-26","0,1","trend_soft","Softer trend penalties","False"
"trend","etfs_reference","cfg_01","Balanced fixed 10d","53","23","0,13","-0,46","1,15","0,64","1,51","1,05","-2,49","-9,96","0,25","trend_balanced","Balanced trend","False"
"trend","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,18","-0,46","1,21","0,64","1,51","1,06","-2,44","-9,74","0,25","trend_control","Control","False"
"trend","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,18","-0,46","1,21","0,64","1,5","1,04","-2,43","-9,72","0,25","trend_fast_recovery","Fast recovery bias","True"
"trend","etfs_reference","cfg_01","Balanced fixed 10d","54","23","0,18","-0,46","1,21","0,64","1,5","1,05","-2,43","-9,73","0,25","trend_soft","Softer trend penalties","False"
"trend","mixed_reference","cfg_12","Balanced hybrid 12/7/15","60","23","0","-0,15","1","0,87","3,24","0,51","-1,33","-3,79","0,35","trend_balanced","Balanced trend","False"
"trend","mixed_reference","cfg_12","Balanced hybrid 12/7/15","56","24","0,26","-0,53","1,17","0,62","2,74","0,97","-3,69","-10,54","0,35","trend_control","Control","False"
"trend","mixed_reference","cfg_12","Balanced hybrid 12/7/15","55","22","0,01","0,04","1","1,04","2,81","0,51","0,09","0,27","0,35","trend_fast_recovery","Fast recovery bias","True"
"trend","mixed_reference","cfg_12","Balanced hybrid 12/7/15","55","23","0,15","-0,15","1,1","0,87","2,81","0,51","-1,14","-3,26","0,35","trend_soft","Softer trend penalties","False"
"trend","stocks_reference","cfg_09","Hybrid 10/5/20","38","13","-0,63","0,48","0,76","1,25","2,28","0,42","1,21","4,04","0,3","trend_balanced","Balanced trend","False"
"trend","stocks_reference","cfg_09","Hybrid 10/5/20","36","13","-0,48","0,48","0,79","1,26","1,82","0,43","1,43","4,78","0,3","trend_control","Control","False"
"trend","stocks_reference","cfg_09","Hybrid 10/5/20","33","13","-0,48","0,48","0,8","1,25","1,42","0,42","1,41","4,69","0,3","trend_fast_recovery","Fast recovery bias","True"
"trend","stocks_reference","cfg_09","Hybrid 10/5/20","35","13","-0,28","0,48","0,88","1,25","1,64","0,42","1,68","5,61","0,3","trend_soft","Softer trend penalties","False"
