"iteration_id","variant_id","variant_label","aggregate_score","is_winner","iteration_baseline_score","iteration_best_score"
"trend","trend_fast_recovery","Fast recovery bias","-3,53","True","-5,37","-3,53"
"trend","trend_soft","Softer trend penalties","-4,49","False","-5,37","-3,53"
"trend","trend_balanced","Balanced trend","-5,21","False","-5,37","-3,53"
"trend","trend_control","Control","-5,37","False","-5,37","-3,53"
"support","support_lenient","Lenient overshoot handling","-1,4","True","-3,53","-1,4"
"support","support_balanced","Balanced overshoot handling","-1,5","False","-3,53","-1,4"
"support","support_strict","Strict overshoot handling","-1,81","False","-3,53","-1,4"
"support","support_control","Control","-3,53","False","-3,53","-1,4"
"shock","shock_balanced","Balanced shock","-3,53","False","-3,53","-3,53"
"shock","shock_control","Control","-3,53","True","-3,53","-3,53"
"shock","shock_aggressive","Aggressive shock","-3,53","False","-3,53","-3,53"
"shock","shock_strict","Strict shock","-3,53","False","-3,53","-3,53"
"recommendation","recommendation_eased_risk","Higher risk tolerance","-1,4","False","-1,4","-1,4"
"recommendation","recommendation_balanced","Lower buy and mild risk easing","-1,4","False","-1,4","-1,4"
"recommendation","recommendation_control","Control","-1,4","True","-1,4","-1,4"
"recommendation","recommendation_eased_buy","Lower buy threshold","-1,4","False","-1,4","-1,4"
