iteration_id,iteration_label,variant_id,variant_label,aggregate_score,scoring_overrides
shock_regime,Shock regime tuning,shock_regime_control,Control,-28.79,{}
shock_regime,Shock regime tuning,shock_regime_balanced,Balanced shock,-28.79,"{'technical': {'rsi_contextual': {'oversold_shock': 26, 'neutral_shock': 15}, 'market_regime': {'shock_rsi_threshold': 34, 'shock_ema_below_sma50_pct': 0.03, 'shock_atr_multiplier': 1.35}}}"
shock_regime,Shock regime tuning,shock_regime_early,Early shock recognition,-28.79,"{'technical': {'rsi_contextual': {'oversold_shock': 28, 'neutral_shock': 16}, 'market_regime': {'shock_rsi_threshold': 36, 'shock_ema_below_sma50_pct': 0.025, 'shock_atr_multiplier': 1.25}}}"
shock_regime,Shock regime tuning,shock_regime_strict,Strict shock,-28.79,"{'technical': {'rsi_contextual': {'oversold_shock': 22, 'neutral_shock': 13}, 'market_regime': {'shock_rsi_threshold': 32, 'shock_ema_below_sma50_pct': 0.04, 'shock_atr_multiplier': 1.6}}}"
shock_trend,Shock trend tuning,shock_trend_control,Control,-28.79,{}
shock_trend,Shock trend tuning,shock_trend_relaxed,Relaxed slow trend in shocks,-28.79,"{'technical': {'trend': {'golden_cross_bonus': 11, 'death_cross_penalty': -4, 'price_above_sma200': 6, 'price_below_sma200': -3, 'ema20_above_sma50': 14, 'ema20_below_sma50': -1}}}"
shock_trend,Shock trend tuning,shock_trend_balanced,Balanced shock trend,-28.79,"{'technical': {'trend': {'golden_cross_bonus': 12, 'death_cross_penalty': -5, 'price_above_sma200': 6, 'price_below_sma200': -4, 'ema20_above_sma50': 13, 'ema20_below_sma50': -1}}}"
shock_support,Shock support handling,shock_support_control,Control,-28.79,{}
shock_support,Shock support handling,shock_support_atr,ATR-aware overshoot,-28.79,"{'technical': {'support_distance': {'overshoot_near_support_score_ratio': 0.55, 'atr_proximity_bonus_multiplier': 1.18}}}"
shock_support,Shock support handling,shock_support_balanced,Balanced ATR overshoot,-28.79,"{'technical': {'support_distance': {'overshoot_near_support_score_ratio': 0.5, 'atr_proximity_bonus_multiplier': 1.15}}}"
